"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Sánchez A.L.","Sánchez, Arturo Lahera (44461683700)","44461683700","Debates on digitization and robotization of (human) work of the future: replacing automation, technological pragmatism, augmentation and heteromation; [El debate sobre la digitalización y la robotización del trabajo (humano) del futuro: automatización de sustitución, pragmatismo tecnológico, automatización de integración y heteromatización]","2021","Revista Espanola de Sociologia","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124209747&doi=10.22325%2ffes%2fres.2021.66&partnerID=40&md5=c881474ba9cd3b706788a97b89e97631","Spanish","Article","Scopus"
"Gavrílova V.E.","Gavrílova, Valeria E. (57340312500)","57340312500","LATIN AMERICA AND RUSSIA IN THE CONDITIONS OF DIGITALIZATION OF THE MONETARY SYSTEM: QUESTIONS OF THEORY AND PRACTICE; [AMÉRICA LATINA Y RUSIA EN CONDICIONES DE DIGITALIZACIÓN DEL SISTEMA MONETARIO: CUESTIONES DE TEORÍA Y PRÁCTICA]","2021","Iberoamerica (Russian Federation)","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119198422&doi=10.37656%2fs20768400-2021-3-02&partnerID=40&md5=7166a0fcab460e0e0243b6850f583a74","English","Article","Scopus"
"Mas M.T.; Bendicho V.M.L.-M.; Tercero J.L.; Valdelomar J.T.; Maschner H.","Mas, Miguel Torres (57327580200); Bendicho, Víctor Manuel López-Menchero (55944067300); Tercero, Julio López (57414903200); Valdelomar, Juan Torrejón (57189095087); Maschner, Herbert (6603112504)","57327580200; 55944067300; 57414903200; 57189095087; 6603112504","DIGITIZATION AND VIRTUAL REALITY PROJECTS IN ARCHAEOLOGICAL HERITAGE. THE CASE OF THE ARCHAEOLOGICAL SITE OF MOTILLA DEL AZUER IN DAIMIEL (CIUDAD REAL); [PROYECTOS DE DIGITALIZACIÓN Y REALIDAD VIRTUAL EN EL PATRIMONIO ARQUEOLÓGICO. EL CASO DEL YACIMIENTO DE LA MOTILLA DEL AZUER EN DAIMIEL (CIUDAD REAL)]","2022","Virtual Archaeology Review","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124962708&doi=10.4995%2fVAR.2022.15004&partnerID=40&md5=e7ceddf82e40a968149a36eaa938d6c2","English","Article","Scopus"
"Pinto H.; Nogueira C.; Vieira G.","Pinto, Hugo (24759415100); Nogueira, Carla (58473466300); Vieira, Gabriela (58521601300)","24759415100; 58473466300; 58521601300","Digitalisation landscape in the European Union: Statistical insights for a Digital Transformation; [Panorama de la digitalización en la Unión Europea: Perspectivas estadísticas para una Transformación Digital]","2023","European Public and Social Innovation Review","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166621729&doi=10.31637%2fepsir.23-1.2&partnerID=40&md5=ca4ac07dec83d53fb111d3d02dc5e790","English","Article","Scopus"
"Vañó M.J.V.","Vañó, María José Vañó (57211095320)","57211095320","DIGITALIZATION OF THE AGRICULTURAL SECTOR: INTERCOOPERATION AND DISRUPTIVE TECHNOLOGIES; [DIGITALIZACIÓN DEL SECTOR AGROPRODUCTOR: INTERCOOPERACIÓN Y TECNOLOGÍAS DISRUPTIVAS]","2022","CIRIEC-Espana, Revista Juridica de Economia Social y Cooperativa","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180244552&doi=10.7203%2fCIRIEC-JUR.41.24591&partnerID=40&md5=9904e75c49c231792a4b499f96aed056","Spanish","Article","Scopus"
"Jacovkis J.; Parcerisa L.; Calderón-Garrido D.; Moreno-González A.","Jacovkis, Judith (37121949200); Parcerisa, Lluís (56976292600); Calderón-Garrido, Diego (57192679954); Moreno-González, Ainara (58136359300)","37121949200; 56976292600; 57192679954; 58136359300","Platforms and digitalization of public education: Exploring its adoption in Catalonia; [Plataformas e digitalização da educação pública: Explorando a sua adopção em Catalunha]; [Plataformas y Digitalización de la Educación Pública: Explorando su Adopción en Cataluña]","2023","Education Policy Analysis Archives","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179318133&doi=10.14507%2fepaa.31.7917&partnerID=40&md5=5279954a57519f752410788cb443b5fa","Spanish","Article","Scopus"
"Haipeter T.","Haipeter, Thomas (57203671142)","57203671142","Trade Unions and Digitalisation in Germany; [Sindicatos y digitalización en Alemania]","2022","Cuadernos de Relaciones Laborales","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136491497&doi=10.5209%2fcrla.78214&partnerID=40&md5=30648996dd2314dadd58d7dfaf49463f","English","Article","Scopus"
"Fernández M.S.","Fernández, María Serrano (57210112787)","57210112787","Digitisation of cultural heritage. the directive on copyright and related rights in the digital single market; [La digitalización del patrimonio cultural La Directiva sobre derechos de autor y derechos afines en el mercado único digital]","2020","InDret","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152654710&doi=10.31009%2fInDret.2020.i3.03&partnerID=40&md5=a8af4d2074d38e426446615f18054b6c","Spanish","Article","Scopus"
"Grinberg S.M.; Verón E.F.","Grinberg, Silvia Mariela (36655726800); Verón, Eduardo Francisco (58090324100)","36655726800; 58090324100","COVID-19 y digitalización en contextos de pobreza urbana","2022","Bitacora Urbano Territorial","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147374443&doi=10.15446%2fbitacora.v32n2.99794&partnerID=40&md5=507cacfa513abfc65709ae8d220cfd0c","Spanish","Article","Scopus"
"Arias Maldonado M.","Arias Maldonado, Manuel (6508202145)","6508202145","The digitalization of public opinion: Social networks, political sentiment and democracy; [La digitalización de la conversación pública: Redes sociales, afectividad política y democracia]","2016","Revista de Estudios Politicos","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015198038&doi=10.18042%2fcepc%2frep.173.01&partnerID=40&md5=8f8bc6a7f68ce2e11b4f9bd0bb08e0f6","Spanish","Article","Scopus"
"Mercader Uguina J.R.","Mercader Uguina, Jesús R. (57204104918)","57204104918","New scenarios for the Statute of Workers’ Rights in the 21st century: digitalisation and technological change; [Nuevos escenarios para el Estatuto de los Trabajadores del siglo XXI: digitalización y cambio tecnológico]","2020","Trabajo y Derecho","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126791794&partnerID=40&md5=687f6ea691f6abaf865ae2f8e822e550","Spanish","Article","Scopus"
"Acevedo V.J.; Staropoli L.","Acevedo, Verónica J. (55341406700); Staropoli, Laura (57201441954)","55341406700; 57201441954","The digitization of archeology in a world of virtual heritage and Open Science (Versatile, Flexible and Expeditive); [La digitalización de la arqueología en un mundo de patrimonio virtual y Ciencia Abierta (Versátil, Flexible y Expeditiva)]","2023","Revista del Museo de Antropologia","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187118846&doi=10.31048%2f1852.4826.v16.n2.42498&partnerID=40&md5=edaa583e524b917f55e1a0d11930584b","English","Article","Scopus"
"Zurita R.T.; Millán M.J.R.; Díaz P.L.","Zurita, Remedio Torrijos (57209775714); Millán, María Jesús Rosado (55906791500); Díaz, Pilar Lacasa (23393453700)","57209775714; 55906791500; 23393453700","Digitization practices implemented in companies from human resources departments: Critical analysis of the discourse; [Las prácticas de digitalización implementadas en las empresas desde los departamentos de recursos humanos: Análisis crítico del discurso]","2021","Prisma Social","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102184853&partnerID=40&md5=04dd9f7d0ff45e857538c769f12b11f0","Spanish","Review","Scopus"
"Rodríguez Gómez E.F.; Rosique Cedillo G.J.","Rodríguez Gómez, E.F. (56453199800); Rosique Cedillo, G.J. (55578419900)","56453199800; 55578419900","Privatization, public service and digitization. the case of 7 TV; [Privatización, servicio público y digitalización. El caso de 7 TV]","2022","Revista de Comunicacion","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128404168&doi=10.26441%2fRC21.1-2022-A17&partnerID=40&md5=b684041592fa541a313fbebd37abb713","Spanish","Article","Scopus"
"Sánchez A.L.","Sánchez, Arturo Lahera (44461683700)","44461683700","Digitalization, robotization, work and life: Cartographies, debates and practices; [Digitalización, robotización, trabajo y vida: Cartografías, debates y prácticas]","2019","Cuadernos de Relaciones Laborales","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077344106&doi=10.5209%2fcrla.66037&partnerID=40&md5=b059f0dc067c96357eeb30a3181c9756","Spanish","Article","Scopus"
"Segata J.; Rifiotis T.","Segata, Jean (57193615055); Rifiotis, Theophilos (55179405400)","57193615055; 55179405400","Digitization and datafication of life; [Digitalização e dataficação da vida]; [Digitalización y datificación de la vida]","2021","Civitas","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114743600&doi=10.15448%2f1984-7289.2021.2.40987&partnerID=40&md5=2eafbf19f63d2db8342bb45c9b000414","Portuguese","Article","Scopus"
