"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"K5KR8V3C","webpage","2019","Risam, Roopika","risam_colonial_violence.pdf | Powered by Box","","","","","https://utexas.app.box.com/s/sexrxhj4z8708ybpcivpokq00nyl9wql","","2019","2024-08-14 00:13:04","2024-08-14T00:13:04Z","2024-08-13 19:47:24","","","","","","","","","","","","","","es-419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFF5IQ67","webpage","2021","Jimenez Badillo","Patrimonio digital","Mediateca - Instituto Nacional de Antropología e Historia","","","","http://mediateca.inah.gob.mx/repositorio/islandora/object/libro%3A853","","2021","2024-08-14 00:12:23","2024-08-14T00:12:23Z","2024-08-13 19:44:59","","","","","","","","","","","","","","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSV3D5QS","blogPost","","Red de Humanidades Digitales","Blog","Red de Humanidades Digitales","","","","https://humanidadesdigitales.net/blog-rhd/","","","2024-08-14 00:11:26","2024-08-14T00:11:26Z","2024-08-13 19:45:44","","","","","","","","","","","","","","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT9WUPES","webpage","2021","Cameron, Fiona","cameron_beyond_the_cult.pdf | Powered by Box","","","","","https://utexas.app.box.com/s/cxjkzokimysc97j16yavpd7pv3gl6q9c","","2021","2024-08-14 00:11:00","2024-08-14T00:11:00Z","2024-08-13 18:47:18","","","","","","","","","","","","","","es-419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRNDD5FZ","webpage","2020","Candela, Gustavo","candela-et-al-2020-reusing-digital-collections-from-glam-institutions.pdf | Powered by Box","","","","","https://utexas.app.box.com/s/1938ppnijr6u6uc3mjh36zt8apa26yjb","","2020","2024-08-14 00:10:25","2024-08-14T00:10:25Z","2024-08-13 18:54:23","","","","","","","","","","","","","","es-419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C93RGGSJ","webpage","2020","GEOTECH CENTER","GeoTech Center Concept Modules. How to use Map Warper to Georeference Maps","","","","","https://www.youtube.com/watch?v=EIZj67YgOXE","Disfruta los videos y la música que te encantan, sube contenido original y compártelo con tus amigos, familiares y el resto del mundo en YouTube.","2020","2024-08-14 00:10:14","2024-08-14T00:10:14Z","2024-08-13 18:48:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CP3UAT4F","webpage","2016","Hurley, Grant","hurley_community_archives.pdf | Powered by Box","","","","","https://utexas.app.box.com/s/1b7856vjew1g64b4fchr5tm87fiff8d6","","2016","2024-08-14 00:09:32","2024-08-14T00:09:32Z","2024-08-13 19:44:30","","","","","","","","","","","","","","es-419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V68GXWHQ","webpage","2021","Colavizza, Giovanni","colavizza_archives_ai.pdf | Powered by Box","","","","","https://utexas.app.box.com/s/zsrw38h7zdocseoh4h6wd4baqut48lwf","","2021","2024-08-14 00:08:41","2024-08-14T00:08:41Z","2024-08-13 18:55:56","","","","","","","","","","","","","","es-419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5B5543X9","journalArticle","2019","Braun, Steven","Critically engaging with data visualization through an information literacy framework","Digital Humanities Quarterly","","1938-4122","","","","2019-02-04","2024-08-13 19:46:18","2024-08-13T19:46:18Z","","","","4","012","","DHQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBPU8QH3","journalArticle","2018","Ricaurte Quijano, Paola; Quijano, Paola Ricaurte","Laboratorios ciudadanos y humanidades digitales","Digital Humanities Quarterly","","1938-4122","","","","2018-04-04","2024-08-13 19:45:58","2024-08-13T19:45:58Z","","","","1","012","","DHQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
